Column1,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,country,sector,industry,asOfDate,periodType,ForwardPeRatio,MarketCap2,PbRatio,PeRatio,PsRatio,forwardPE,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,fiveYearAvgDividendYield,PegRatio,openInterest,yield,ytdReturn,totalAssets,expireDate,strikePrice,navPrice,volume24Hr,volumeAllCurrencies,circulatingSupply,maxSupply,startDate,0,O&G,Renewable
TH0999010R11,1,2,94.5,94.5,93.25,94.5,94.5,94.5,93.25,94.5,7.15,0.0757,29/04/2022 01:00,0.8181,0.546439,10.755149,3792600,3792600,22,12,12,94,94.25,0,0,73468796928,86.25,101.5,4.293413,92.53315,94.027115,7.15,0.075661376,THB,,,,,,FALSE,Thailand,Financial Services,Banks—Regional,05/10/2022,TTM,10.4167,75661943143,1.927832,10.812357,4.109844,,,,,,,,,,,,,,,,,,,,0,0
TH0121010R12,1,2,69.25,69,68.25,69.25,69.25,69,68.25,69.25,,,07/09/2022 01:00,,0.881578,8.424212,2903700,2903700,,,,68.75,69,0,0,2.44E+11,68.25,69.25,11.527389,,,3.95,0.05703971,THB,,,,,,FALSE,Thailand,Financial Services,Banks—Regional,06/10/2022,TTM,,58637514298,,,,,,,,,,,,,,,,,,,,,,,0,0
KYG3R83K1037,1,3,1.03,1.01,0.99,1.03,1.03,1.01,0.99,1.03,,,25/06/2019 01:00,0,0.576994,6.7999997,668000,668000,6179495,1769500,1769500,1.01,1.02,0,0,7412574720,0.86,1.84,1.6081135,1.1418,1.1991,0,0,HKD,,,,,,FALSE,Taiwan,Technology,Electronic Components,06/10/2022,TTM,5.4675,7496949525,0.402491,4.260055,0.197371,6.375,10245527629,37.120535,2.222705,,,,,,,,,,,,,,,,0,0
SE0005127818,1,2,182.85,180.95,171.35,181.75,182.85,180.95,171.35,181.75,2.15,0.0118,12/05/2022 01:00,0.097799994,1.050492,7.9558887,144529,144529,329602,699246,699246,174.85,175.1,0,0,56075845632,166.9,385.6,16.58558,225.153,244.94675,2.15,0.011758272,SEK,,,,,,FALSE,Sweden,Real Estate,Real Estate Services,06/10/2022,TTM,24.2131,58608018073,2.41225,7.958163,16.365407,,86383018073,10.163904,25.3993,0.94,,,,,,,,,,,,,,,0,0
SE0015949748,1,2,148.4,148.7,144.2,148.7,148.4,148.7,144.2,148.7,1.1,0.0074,10/10/2022 01:00,0.32569999,1.759092,47.03583,57079,57079,300451,374979,374979,144.1,144.3,0,0,58278539264,124.8,199.4,2.9957552,143.166,153.439,1.1,0.007412399,SEK,,,,,,FALSE,Sweden,Industrials,Specialty Industrial Machinery,06/10/2022,TTM,,55548471080,9.394296,47.557003,2.875262,34.545456,59991829080,27.316867,3.083825,0.94,,,,,,,,,,,,,,,0,0
KYG970081173,1,3,49.75,49.5,48,49.5,49.75,49.5,48,49.5,,,,0,0.887755,46.346157,13567311,13567311,20748960,17841373,17841373,48.2,48.25,0,0,2.02E+11,40.3,121.5,15.406931,62.996,67.12775,0,0,HKD,,,,,,FALSE,China,Healthcare,Biotechnology,01/10/2022,TTM,25.9067,2.02E+11,5.386979,46.819831,14.67317,28.690477,1.96E+11,39.965374,14.978934,,0.6871,,,,,,,,,,,,,,0,0
DE000BFB0019,1,2,6.17,6.165,6.155,6.24,6.17,6.165,6.155,6.24,,,22/02/2021 00:00,0,0.666666,,70245,70245,175048,244788,244788,6.185,6.205,,,2251263488,6.115,793,0.07792266,7.9279,12.16249,0,0,EUR,,,,,,FALSE,Germany,Consumer Defensive,Food Distribution,06/10/2022,TTM,8.8417,2280310259,0.978648,67.216667,0.082183,17.222221,5529310259,5.540391,0.191385,,,,,,,,,,,,,,,,0,0
KR7271560005,1,2,100500,100000,98300,102000,100500,100000,98300,102000,750,0.0075,29/12/2021 00:00,0.1015,0.134555,,98100,98100,120115,124602,124602,100500,101000,0,0,3.99E+12,80600,128000,1.5766011,101506,97749.5,,,KRW,,,,,,FALSE,South Korea,Consumer Defensive,Confectioners,07/10/2022,TTM,13.6986,3.97E+12,1.604779,13.599459,1.568928,,3.32E+12,5.594389,1.312912,,,,,,,,,,,,,,,,0,0
DE000A2E4K43,1,2,39.42,39,38.16,39,39.42,39,38.16,39,,,,0,0.801948,,93597,93597,795908,755235,755235,38.33,38.36,0,0,9732308992,23.88,131.5,1.3491424,45.0542,46.3113,0,0,EUR,,,,,,FALSE,Germany,Consumer Cyclical,Internet Retail,01/10/2022,TTM,,9628255711,2.145955,,1.354376,-12.5737705,12196555711,-15.519221,1.690749,,,,,,,,,,,,,,,,0,0
TRESLEC00014,1,2,24.18,24.38,24,24.52,24.18,24.38,24,24.52,0.5,0.0207,18/04/2022 01:00,0.2399,0.195046,11.5576935,958241,958241,4157530,3286394,3286394,24.04,24.06,0,0,14928840704,8.11,25,0.44899634,20.5192,14.7454,0.5,0.020678246,TRY,,,,,,FALSE,Turkey,Healthcare,Pharmaceutical Retailers,07/10/2022,TTM,,14879160000,3.031755,11.602687,0.451611,7.5125003,14790751464,8.123987,0.444843,2.21,,,,,,,,,,,,,,,0,0
TRASARKY91G6,1,2,18.15,18.18,18,18.23,18.15,18.18,18,18.23,0.23,0.0124,22/04/2022 01:00,0.1356,0.660216,13.101449,579186,579186,1355426,1605583,1605583,18.07,18.1,0,0,7232000000,9.1275,19.27,0.34033427,16.5062,14.72225,0.225,0.012396694,TRY,,,,,,FALSE,Turkey,Basic Materials,Copper,01/10/2022,TTM,,6859999828,4.763294,12.400067,0.494828,,8817965327,9.277777,0.636061,,,,,,,,,,,,,,,,0,0
TRAKONYA91F6,1,2,1355,1356,1356,1434.7,1355,1356,1356,1434.7,,,22/05/2018 01:00,0,1.606811,329.37787,49510,49510,44191,38438,38438,1424.7,1430,0,0,6966582272,793.3,1460,7.0326138,1284.652,1043.4755,0,0,TRY,,,,,,FALSE,Turkey,Basic Materials,Building Materials,01/10/2022,TTM,,6296971824,15.619125,296.000183,10.176922,,6338674034,100.318218,10.244319,,,,,,,,,,,,,,,,0,0
TRABRSAN91G8,1,2,51.1,51.6,51.55,55.85,51.1,51.6,51.55,55.85,,,31/05/2019 01:00,0,1.424148,22.86307,1645673,1645673,1445544,963644,963644,55.1,55.15,0,0,7810424832,22.1,55.85,0.60147834,46.2978,33.50955,0,0,TRY,,,,,,FALSE,Turkey,Basic Materials,Steel,06/10/2022,TTM,,7200900000,0.833209,22.029393,0.554539,,13483011000,11.01205,1.038322,,,,,,,,,,,,,,,,0,0
TRAALARK91Q0,1,2,63.1,63.2,62.9,64.7,63.1,63.2,62.9,64.7,0.23,0.0041,06/05/2022 01:00,0.0228,0.790827,6.2524753,4577077,4577077,8258316,10139632,10139632,63.1,63.15,0,0,27440381952,8.22,69.55,6.7298465,50.8482,30.90095,0,0,TRY,,,,,,FALSE,Turkey,Industrials,Conglomerates,05/10/2022,TTM,,27353463633,3.971533,6.230206,6.715835,22.553572,26710517509,5.530941,6.550845,,,,,,,,,,,,,,,,0,0
